証券コード,33業種番号,33業種名,17業種番号,17業種名
73570,9050,サービス業,10,情報通信・サービスその他
29360,3050,食料品,1,食品
76490,6100,小売業,14,小売
30630,6100,小売業,14,小売
78110,3800,その他製品,10,情報通信・サービスその他
33840,,,,
76080,6050,卸売業,13,商社・卸売
60580,9050,サービス業,10,情報通信・サービスその他
35620,6050,卸売業,13,商社・卸売
23380,5250,情報･通信業,10,情報通信・サービスその他
80050,6100,小売業,14,小売
99930,6100,小売業,14,小売
34790,8050,不動産業,17,不動産
41730,5250,情報･通信業,10,情報通信・サービスその他
29300,3200,化学,4,素材・化学
24020,,,,
61730,9050,サービス業,10,情報通信・サービスその他
63120,3600,機械,8,機械
35570,6100,小売業,14,小売
44900,5250,情報･通信業,10,情報通信・サービスその他
23000,9050,サービス業,10,情報通信・サービスその他
78650,3800,その他製品,10,情報通信・サービスその他
75900,6050,卸売業,13,商社・卸売
25900,3050,食料品,1,食品
81420,6050,卸売業,13,商社・卸売
21630,9050,サービス業,10,情報通信・サービスその他
48130,5250,情報･通信業,10,情報通信・サービスその他
39550,3150,パルプ・紙,4,素材・化学
96370,,,,
36570,5250,情報･通信業,10,情報通信・サービスその他
43800,5250,情報･通信業,10,情報通信・サービスその他
96920,5250,情報･通信業,10,情報通信・サービスその他
33200,6050,卸売業,13,商社・卸売
69660,3650,電気機器,9,電機・精密
17580,2050,建設業,3,建設・資材
78780,3800,その他製品,10,情報通信・サービスその他
61840,9050,サービス業,10,情報通信・サービスその他
39310,5250,情報･通信業,10,情報通信・サービスその他
96320,9050,サービス業,10,情報通信・サービスその他
97430,9050,サービス業,10,情報通信・サービスその他
41740,5250,情報･通信業,10,情報通信・サービスその他
29830,8050,不動産業,17,不動産
96360,9050,サービス業,10,情報通信・サービスその他
80680,,,,
63360,3600,機械,8,機械
30710,6100,小売業,14,小売
19280,2050,建設業,3,建設・資材
66540,3650,電気機器,9,電機・精密
22170,3050,食料品,1,食品
43340,5250,情報･通信業,10,情報通信・サービスその他
39950,,,,
97340,,,,
42380,3200,化学,4,素材・化学
34150,6100,小売業,14,小売
68980,3650,電気機器,9,電機・精密
45920,3250,医薬品,5,医薬品
70730,9050,サービス業,10,情報通信・サービスその他
30700,6050,卸売業,13,商社・卸売
39210,5250,情報･通信業,10,情報通信・サービスその他
35650,6050,卸売業,13,商社・卸売
66960,3650,電気機器,9,電機・精密
42870,5250,情報･通信業,10,情報通信・サービスその他
43690,3200,化学,4,素材・化学
67570,3650,電気機器,9,電機・精密
32460,8050,不動産業,17,不動産
76740,6100,小売業,14,小売
76140,6100,小売業,14,小売
31690,6100,小売業,14,小売
42670,5250,情報･通信業,10,情報通信・サービスその他
33990,6100,小売業,14,小売
80130,3100,繊維製品,4,素材・化学
88420,,,,
14330,2050,建設業,3,建設・資材
76830,6100,小売業,14,小売
41750,5250,情報･通信業,10,情報通信・サービスその他
36650,5250,情報･通信業,10,情報通信・サービスその他
71960,7200,その他金融業,16,金融（除く銀行）
31590,6100,小売業,14,小売
70640,9050,サービス業,10,情報通信・サービスその他
27760,6050,卸売業,13,商社・卸売
65730,9050,サービス業,10,情報通信・サービスその他
99760,6100,小売業,14,小売
82170,6100,小売業,14,小売
27780,6100,小売業,14,小売
33330,6100,小売業,14,小売
82270,6100,小売業,14,小売
30540,6050,卸売業,13,商社・卸売
62790,3600,機械,8,機械
75450,6100,小売業,14,小売
26530,6100,小売業,14,小売
43430,9050,サービス業,10,情報通信・サービスその他
74500,6100,小売業,14,小売
97870,9050,サービス業,10,情報通信・サービスその他
61420,,,,
89050,8050,不動産業,17,不動産
98430,6100,小売業,14,小売
82760,6100,小売業,14,小売
82780,6100,小売業,14,小売
22940,3050,食料品,1,食品
